Name,Link,Categories,Pricing,Platforms,Tags,Description
Ableton Live,https://www.ableton.com/en/,DAW,Paid,"Windows, Mac",,"Ableton makes Push and Live, hardware and software for music production, creation and performance. Ableton´s products are made to inspire creative music-making."
Avid Pro Tools,https://www.avid.com/en/pro-tools,DAW,"Free, Trial, Paid","Windows, Mac",,"Music software for Mac or Windows to create audio with up to 128 audio tracks. Pro Tools includes 60 virtual instruments (thousands of sounds), effects, sound processing, utility plugins, 1 GB of cloud storage and 75 individual plugins. Create, Collaborate. Be heard."
Presonus Studio One,https://www.presonus.com/products/Studio-One,"DAW, Music Notation","Free, Paid","Windows, Mac, iOS",,
Cockos Reaper,https://www.reaper.fm/,DAW,Paid,"Windows, Mac, Linux",,
Apple Logic Pro,https://www.apple.com/logic-pro/,DAW,Paid,Mac,,
Apple GarageBand,https://apps.apple.com/us/app/garageband/id682658836?ign-mpt=uo%3D4&mt=12,DAW,Free,"Mac, iOS",,"‎Read reviews, compare customer ratings, see screenshots, and learn more about GarageBand. Download GarageBand for macOS 11.0 or later and enjoy it on your Mac."
Reason,https://www.propellerheads.com/en/reason,DAW,"Trial, Paid","Windows, Mac",,"Reason is a powerful collection of virtual instruments, effects and music production tools where musical ideas and amazing sounds comes to life. Available as a VST plugin or in Reason standalone."
FL Studio,https://www.image-line.com/flstudio/,DAW,"Trial, Paid","Windows, Mac",,"FL Studio, an all-in-one music production software, is one of the world's most popular DAW. Download your free trial today."
Steinberg Cubase,https://new.steinberg.net/cubase/,DAW,"Trial, Paid","Windows, Mac",,"Whether you want to start creating your own music or bring your production up to a professional level, Cubase guides you on your music production journey."
Steinberg Nuendo,https://new.steinberg.net/nuendo/,DAW,Paid,"Windows, Mac",,"As the most advanced audio post-production solution available, Nuendo is the choice of film, TV, game audio and immersive sound industry professionals worldwide"
Mixcraft,https://www.acoustica.com/mixcraft/,DAW,"Trial, Paid",Windows,,"The Easiest Music Recording Software For Musicians. Stay In The Creative Zone."
Bandlab Cakewalk,https://www.bandlab.com/products/cakewalk,DAW,Free,Windows,,"The cloud platform where musicians and fans create music, collaborate and engage with each other across the globe."
LMMS,https://lmms.io/,DAW,Free,"Windows, Mac, Linux",,"LMMS is a free, open source, multiplatform digital audio workstation."
Ardour,http://ardour.org/,DAW,Free,"Windows, Mac, Linux",,
Adobe Audition,https://www.adobe.com/products/audition.html,DAW,"Trial, Subscription","Windows, Mac",,
N-Track Studio,https://ntrack.com/digital-audio-workstation.php,DAW,"Trial, Paid","Windows, Mac, Linux, iOS, Android",,"Audio and music recording, editing and mixing software for Windows, Mac, 
iOS and Android. Record your music easily from your computer or smartphone."
MOTU DP,http://motu.com/products/software/dp/,DAW,"Trial, Paid","Windows, Mac",,"Get inspired, then refine your mix — all in a singular workflow. Digital 
Performer 10 delivers inspirational features devised to ignite your creative muse, combined with state-of-the-art studio production technologies engineered for the most demanding, world-class recording and production environments."
Tracktion Waveform,https://www.tracktion.com/products/waveform,DAW,"Trial, Paid","Windows, Mac, Linux",,"The most creative, inspirational and affordable digital audio workstation ever created. Waveform is laser focused on music production."
Tracktion t7,https://www.tracktion.com/products/t7-daw,DAW,Free,"Windows, Mac, Linux",,
Facebook 360,https://facebook360.fb.com/spatial-workstation/,"DAW, VST Plugin",Free,"Windows, Mac",Spatial Audio,
Komplete,https://www.native-instruments.com/en/products/komplete/bundles/komplete-12/included-products/,VST,Paid,"Windows, Mac",VST Plugin,VST package
Komplete Players,https://www.native-instruments.com/en/products/komplete/bundles/komplete-players/,VST,Free,"Windows, Mac",VST Plugin,"Step into music production with KOMPLETE START – a curated selection of studio-quality instruments, effects, utilities, loops, and samples for the low price of nothing at all. Play over 2,000 customizable sounds – drums and percussion, bass, acoustic instruments, synths, pads and atmospheres, effects, and more. And did we mention it’s free?"
Kontakt 6,https://www.native-instruments.com/en/products/komplete/samplers/kontakt-6-player/,VST,Free,"Windows, Mac",VST Plugin,VST package
Guitar Rig 5,https://www.native-instruments.com/en/products/komplete/guitar/guitar-rig-5-player/,VST,Free,"Windows, Mac",VST Plugin,"GUITAR RIG 6 PLAYER is a free amp simulator and effects rack, with a range of high-class modular components for warming up sounds."
Yamaha VCS-5,http://yamamavcs5.weebly.com/,VST,Free,"Windows, Mac",VST Plugin,VST yamaha soft synth emulation
Reverb,https://reverb.com/software,VST,"Free, Paid","Windows, Mac",VST Plugin,"Discover Computer Music on Reverb. Find the best DAWs, VSTs, Plugins, and Presets and learn how to use them."
VST4Free,https://vst4free.com/,VST,Free,"Windows, Mac",VST Plugin,"Free audio plugins archive - Instruments and effects for audio software. Plugins for Cubase, FL studio, Reaper, Ableton and other VST/AU platforms."
Audacity,https://www.audacityteam.org/,Audio Editor,Free,"Windows, Mac, Linux",,
Ocean Audio,http://www.ocenaudio.com/,Audio Editor,Free,"Windows, Mac, Linux",,
Magix Sound Forge Pro,https://www.magix.com/us/music/sound-forge/sound-forge-pro/,Audio Editor,"Trial, Paid, Subscription","Windows, Mac",,"SOUND FORGE Pro 14 sets the benchmark for professional audio recording and editing at the highest level."
Magix Sound Forge Music Studio,https://www.magix.com/us/music/sound-forge/sound-forge-audio-studio/,Audio Editor,"Trial, Paid, Subscription",Windows,,"Recording, editing, restoration and mastering: SOUND FORGE Audio Studio 14 
offers everything for easily editing your audio files."
MAGIX Acid Pro,https://www.magix.com/us/music/acid/acid-pro/,DAW,"Trial, Paid",Windows,Loop Focused DAW,"When inspiration meets creativity: ACID Pro 10 is for all those who seek flexible sample based music production!"
